step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_x,Omega_y,Omega_z,Omega_mag,q0,q1,q2,q3,normal_x,normal_y,normal_z,tilt_angle_deg
47,4.7,0.053545523913984934,-9.706295247570572e-18,9.646982303825371,0.01139266466254984,-8.210642705909273e-18,-0.07511014911042296,0.07596925238215316,-1.219405493637886e-18,1.845460544651569e-08,-1.4507024975223873e-19,1.845460544651569e-08,0.9238795159149463,1.1612853984307614e-18,0.38268347243219764,6.861944538252304e-19,0.7071068425186189,-1.6205850307755059e-18,0.7071067198544712,45.000004969644
48,4.800000000000001,0.05468479038023992,-8.889202860608332e-18,9.639471288912226,0.01139266466254988,1.0743014617097855e-17,-0.07511014915247245,0.07596925242372714,1.384031349867985e-18,1.8454605416894478e-08,7.384842383938182e-19,1.8454605416894478e-08,0.9238795155618327,1.2909106339141868e-18,0.3826834732846892,8.017527291440755e-19,0.7071068438235564,-1.7716567439798476e-18,0.7071067185495332,45.00000507538111
49,4.9,0.055824056846494906,-8.06762838228014e-18,9.631960273994876,0.01139266466254986,1.0831936032737313e-17,-0.07511014919452184,0.07596925246530101,2.1374276536201974e-19,1.8454605379172984e-08,-9.087131335489106e-19,1.8454605379172984e-08,0.923879515208719,1.2598327811589084e-18,0.3826834741371808,6.526200171588995e-19,0.7071068451284939,-1.828373607286621e-18,0.7071067172445953,45.000005181118226
50,5.0,0.05696332331274989,-6.8002254999516246e-18,9.624449259073321,0.011392664662549859,-1.0801984034781597e-17,-0.07511014923657128,0.07596925250687492,3.3037266900882757e-18,1.845460533634064e-08,1.202051104965123e-18,1.845460533634064e-08,0.9238795148556054,1.315747217522928e-18,0.38268347498967237,7.208150259940742e-19,0.7071068464334314,-1.879495804051024e-18,0.7071067159396576,45.00000528685532
51,5.1000000000000005,0.05810258977900488,-5.726923697060922e-18,9.616938244147562,0.011392664662549845,-1.0854424444050715e-17,-0.07511014927862068,0.0759692525484488,-3.1088455408848497e-18,1.845460530801927e-08,1.1761971890826166e-18,1.845460530801927e-08,0.9238795145024918,1.4765545646292758e-18,0.382683475842164,8.0256573812052315e-19,0.7071068477383691,-2.1140597361006797e-18,0.7071067146347201,45.0000053925924
52,5.2,0.059241856245259863,-5.8192298831591595e-18,9.609427229217598,0.011392664662549824,-8.187863221731352e-18,-0.07511014932067009,0.07596925259002268,-1.3135071401250641e-18,1.845460527339862e-08,-7.242515069364548e-19,1.845460527339862e-08,0.9238795141493782,1.3857592984261967e-18,0.3826834766946556,7.077956863249592e-19,0.7071068490433066,-2.018825826651325e-18,0.7071067133297821,45.000005498329514
53,5.300000000000001,0.06038112271151485,-6.8935447369880626e-18,9.60191621428343,0.011392664662549826,1.0782274067338534e-17,-0.07511014936271951,0.0759692526315966,1.2766003548209972e-18,1.845460523746915e-08,9.908113965813589e-19,1.845460523746915e-08,0.9238795137962645,1.4498270723433979e-18,0.38268347754714716,7.3308752645794285e-19,0.707106850348244,-2.1178500934278364e-18,0.7071067120248444,45.00000560406661
54,5.4,0.06152038917776983,-5.817559713963216e-18,9.594405199345054,0.011392664662549805,-8.215464974568725e-18,-0.07511014940476894,0.07596925267317049,8.836838793182964e-18,1.845460520589826e-08,7.903250539169069e-19,1.845460520589826e-08,0.9238795134431509,1.1757575029601109e-18,0.38268347839963873,6.33713000990899e-19,0.7071068516531815,-1.6874935484713006e-18,0.7071067107199065,45.000005709803716
55,5.5,0.06265965564402481,-3.0945282327504305e-18,9.586894184402475,0.011392664662549816,1.0746476078282193e-17,-0.07511014944681838,0.07596925271474442,2.2272114275546616e-18,1.845460517130078e-08,3.8290344821764203e-19,1.845460517130078e-08,0.9238795130900374,1.205229366403248e-18,0.38268347925213037,7.118015906658375e-19,0.7071068529581193,-1.6821840218824868e-18,0.707106709414969,45.00000581554079
56,5.6000000000000005,0.0637989221102798,-2.2750631521634153e-18,9.57938316945569,0.011392664662549812,-1.984978887189907e-17,-0.07511014948886781,0.07596925275631833,1.9404543182849387e-18,1.8454605140607273e-08,-1.66973627960436e-18,1.8454605140607273e-08,0.9238795127369237,1.2975571074324704e-18,0.38268348010462194,7.220973079455983e-19,0.7071068542630567,-1.8449034347684854e-18,0.7071067081100311,45.000005921277904
